edge 175 has vertices 79 , 57
edge 176 has vertices 57 , 80
edge 177 has vertices 55 , 80
edge 178 has vertices 75 , 80
edge 179 has vertices 80 , 56
edge 180 has vertices 79 , 81
edge 181 has vertices 57 , 81
edge 182 has vertices 80 , 81
edge 183 has vertices 82 , 79
edge 184 has vertices 65 , 83
edge 185 has vertices 74 , 83
edge 186 has vertices 58 , 83
edge 187 has vertices 63 , 84
edge 188 has vertices 59 , 84
edge 189 has vertices 84 , 66
edge 190 has vertices 60 , 85
edge 191 has vertices 61 , 85
edge 192 has vertices 62 , 85
edge 193 has vertices 65 , 85
edge 194 has vertices 62 , 86
edge 195 has vertices 86 , 64
edge 196 has vertices 86 , 85
edge 197 has vertices 63 , 87
edge 198 has vertices 64 , 87
edge 199 has vertices 84 , 87
edge 200 has vertices 86 , 87
edge 201 has vertices 88 , 65
edge 202 has vertices 88 , 85
edge 203 has vertices 88 , 83
edge 204 has vertices 89 , 77
edge 205 has vertices 89 , 66
edge 206 has vertices 89 , 84
edge 207 has vertices 69 , 90
edge 208 has vertices 68 , 91
edge 209 has vertices 91 , 71
edge 210 has vertices 67 , 91
edge 211 has vertices 91 , 92
edge 212 has vertices 70 , 92
edge 213 has vertices 68 , 92
edge 214 has vertices 90 , 93
edge 215 has vertices 69 , 93
edge 216 has vertices 93 , 92
edge 217 has vertices 70 , 93
edge 218 has vertices 91 , 94
edge 219 has vertices 71 , 94
edge 220 has vertices 71 , 95
edge 221 has vertices 94 , 95
edge 222 has vertices 72 , 95
edge 223 has vertices 73 , 95
edge 224 has vertices 73 , 96
edge 225 has vertices 74 , 96
edge 226 has vertices 83 , 96
edge 227 has vertices 96 , 95
edge 228 has vertices 97 , 75
edge 229 has vertices 97 , 80
edge 230 has vertices 97 , 76
edge 231 has vertices 97 , 98
edge 232 has vertices 98 , 78
edge 233 has vertices 98 , 76
edge 234 has vertices 89 , 99
edge 235 has vertices 77 , 99
edge 236 has vertices 99 , 98
edge 237 has vertices 99 , 78
edge 238 has vertices 100 , 82
edge 239 has vertices 82 , 101
edge 240 has vertices 79 , 101
edge 241 has vertices 101 , 81
edge 242 has vertices 97 , 102
edge 243 has vertices 102 , 80
edge 244 has vertices 102 , 101
edge 245 has vertices 102 , 81
edge 246 has vertices 100 , 103
edge 247 has vertices 82 , 103
edge 248 has vertices 101 , 103
edge 249 has vertices 83 , 104
edge 250 has vertices 96 , 104
edge 251 has vertices 88 , 104
edge 252 has vertices 105 , 84
edge 253 has vertices 105 , 87
edge 254 has vertices 105 , 89
edge 255 has vertices 88 , 106
edge 256 has vertices 106 , 86
edge 257 has vertices 106 , 85
edge 258 has vertices 107 , 105
edge 259 has vertices 107 , 106
edge 260 has vertices 107 , 86
edge 261 has vertices 107 , 87
