1.2085804579342607e-11 + 0.0im
-1.2660796890051618e-12 + 0.0im
-3.8434810889498294e-12 + 0.0im
-6.110893041588739e-13 + 0.0im
-1.722458981001651e-12 + 0.0im
-1.0876695377692869e-11 + 0.0im
-6.403738650462287e-12 + 0.0im
-1.522348913596261e-11 + 0.0im
-1.1042472491951116e-11 + 0.0im
-1.5307199952019346e-14 + 0.0im
2.7221974674418448e-12 + 0.0im
1.5928647290053277e-12 + 0.0im
-1.2494172363375355e-13 + 0.0im
-4.582098589445138e-13 + 0.0im
-1.3119227926239319e-12 + 0.0im
-1.415353945155573e-12 + 0.0im
-5.74207348336131e-13 + 0.0im
3.7410768927159666e-12 + 0.0im
2.255168274345465e-12 + 0.0im
9.247463905737163e-12 + 0.0im
4.1716768928168335e-12 + 0.0im
-4.981267134884781e-13 + 0.0im
-2.0416723867100472e-12 + 0.0im
-3.818556582046995e-12 + 0.0im
-4.300518274824583e-13 + 0.0im
-7.610134744595598e-12 + 0.0im
-6.4901140017781245e-12 + 0.0im
-1.8687967839881026e-11 + 0.0im
-6.705212773905345e-12 + 0.0im
-4.311054985217666e-12 + 0.0im
-1.1681211553593585e-12 + 0.0im
-1.1356859896949345e-11 + 0.0im
-4.354940019712927e-12 + 0.0im
-1.7734980151118407e-12 + 0.0im
9.55513446143641e-13 + 0.0im
6.054046153280979e-13 + 0.0im
-1.9741153156616065e-12 + 0.0im
-4.1407546141902785e-10 + 0.0im
-5.9049085066043006e-12 + 0.0im
3.652685792721044e-11 + 0.0im
-3.9628422765503046e-10 + 0.0im
1.089443812940516e-11 + 0.0im
2.2743659386370574e-11 + 0.0im
1.154163431493771e-10 + 0.0im
-1.6254664281234454e-11 + 0.0im
-2.1449911985493841e-10 + 0.0im
2.7610287320345428e-11 + 0.0im
9.925205102234713e-11 + 0.0im
-1.6367474042766617e-10 + 0.0im
2.1190441762408696e-10 + 0.0im
4.580017268218661e-11 + 0.0im
1.1940116950714952e-10 + 0.0im
2.0283362489603718e-10 + 0.0im
-9.385242583093145e-12 + 0.0im
-2.255049619259708e-11 + 0.0im
-2.9890950825617324e-11 + 0.0im
-5.040134976042054e-13 + 0.0im
-2.936998561020587e-11 + 0.0im
2.198456347524136e-11 + 0.0im
4.158363930972797e-11 + 0.0im
-3.67610247797856e-11 + 0.0im
-6.353056969388149e-12 + 0.0im
1.3344783611479727e-11 + 0.0im
2.3663987436250977e-12 + 0.0im
-4.416744747715029e-12 + 0.0im
-9.894932095910747e-12 + 0.0im
-1.1683543021945297e-11 + 0.0im
-5.675634441593136e-12 + 0.0im
-1.0846306491840707e-11 + 0.0im
-4.997322000654947e-11 + 0.0im
-2.5904632605655564e-11 + 0.0im
-7.986361572065448e-11 + 0.0im
-4.611050430369801e-11 + 0.0im
1.7217144376857618e-11 + 0.0im
2.022680287150358e-11 + 0.0im
3.37149752560606e-11 + 0.0im
1.6085965892642662e-11 + 0.0im
3.020238226181249e-11 + 0.0im
3.767591794101577e-11 + 0.0im
6.26579066409505e-11 + 0.0im
2.6444152423366063e-11 + 0.0im
1.9945156637390937e-13 + 0.0im
3.9805658769154206e-13 + 0.0im
5.410949466266857e-14 + 0.0im
3.218675326266407e-13 + 0.0im
-3.252193653269231e-12 + 0.0im
