1.6263020343142675e-13 + 2.702152952411563e-13im
1.6263020343142675e-13 - 2.702152952411563e-13im
0.00901387819004072 + 0.0im
-0.00901387819014913 + 0.0im
-0.009013878188671139 + 0.0im
-0.009013878188589296 + 0.0im
-0.009013878190299963 + 0.0im
0.009013878188616925 + 0.0im
0.009013878188022177 + 0.0im
0.009013878190792005 + 0.0im
4.124536105792402e-13 + 0.0im
-1.4140428402903073e-13 + 0.0im
-7.082714429415648e-14 + 0.0im
2.0426723088142302e-13 + 0.0im
6.132439369627896e-14 + 0.0im
5.308176062987075e-13 + 0.0im
0.012500000001552077
2.1684086817796988e-13
0.007500000001364924
0.005000000000403988
0.012500000000223938
0.012500000002202596
0.007500000000253616
0.007500000001473344
0.005000000000946097
0.0049999999997805775
2.1684162123301496e-13
-1.8973360869336584e-13
-5.421172614721823e-14
0.012499999999600503
0.004999999999807675
0.00749999999973862
0.012500000001552077
2.1684086817796988e-13
0.007500000001364924
0.005000000000403988
0.012500000000223938
0.012500000002202596
0.007500000000253616
0.007500000001473344
0.005000000000946097
0.0049999999997805775
2.1684162123301496e-13
-1.8973360869336584e-13
-5.421172614721823e-14
0.012499999999600503
0.004999999999807675
0.00749999999973862
0.012500000001552077
2.1684086817796988e-13
0.007500000001364924
0.005000000000403988
0.012500000000223938
0.012500000002202596
0.007500000000253616
0.007500000001473344
0.005000000000946097
0.0049999999997805775
2.1684162123301496e-13
-1.8973360869336584e-13
-5.421172614721823e-14
0.012499999999600503
0.004999999999807675
0.00749999999973862
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.07000000001389578 + 0.0im
0.05000000000469042 + 0.0im
0.025000000003234286 + 0.0im
0.0349999999987513 + 0.0im
0.050000000002305166 + 0.0im
0.04999999999829361 + 0.0im
0.024999999997466292 + 0.0im
0.02500000000028521 + 0.0im
1.6094874900615861e-12 + 0.0im
-1.8697024197857703e-12 + 0.0im
3.9310156406109853e-13 + 0.0im
-9.568892181296831e-13 + 0.0im
-5.4209866255979023e-14 + 5.793127149125887e-13im
-5.4209866255979023e-14 - 5.793127149125887e-13im
-8.184745110053362e-13 + 0.0im
-4.825634340397453e-13 + 0.0im
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.05000000000469039 + 0.0im
0.025000000003234234 + 0.0im
0.025000000000285214 + 0.0im
0.05000000000577462 + 0.0im
0.05000000000230513 + 0.0im
0.04999999999829356 + 0.0im
0.02500000000366795 + 0.0im
0.024999999997466296 + 0.0im
-9.5688985371073e-13 + 0.0im
3.9310329020034135e-13 + 0.0im
-8.184859624780637e-13 + 0.0im
-4.825570434576049e-13 + 0.0im
5.847447715101632e-13 + 0.0im
-5.4212142342452265e-14 + 5.793090114744029e-13im
-5.4212142342452265e-14 - 5.793090114744029e-13im
-6.432610903378726e-14 + 0.0im
0.128485916281712 + 0.0im
0.1280367535406223 + 0.0im
0.12848591628173764 + 0.0im
0.12848591626475467 + 0.0im
0.1284859162651091 + 0.0im
0.12803675354049543 + 0.0im
0.12803675352111088 + 0.0im
0.12803675352427257 + 0.0im
0.12728593505832608 + 0.0im
0.12728593505831037 + 0.0im
0.1272859350407921 + 0.0im
0.12728593504055313 + 0.0im
0.11395992032382797 + 0.0im
0.1262480815305624 + 0.0im
0.11462401948938847 + 0.0im
0.12624808153051617 + 0.0im
0.12624808151242176 + 0.0im
0.12624808151328296 + 0.0im
0.12497495999231226 + 0.0im
0.12497495999227498 + 0.0im
0.12497495997450653 + 0.0im
0.12497495997525222 + 0.0im
0.12441413294179755 + 0.0im
0.12441413294182524 + 0.0im
0.12441413292423957 + 0.0im
0.12441413292402695 + 0.0im
0.12373498591789897 + 0.0im
0.11785791322561819 + 0.0im
0.12373498591782045 + 0.0im
0.12373498590028684 + 0.0im
0.12373498589748994 + 0.0im
0.12354253504087492 + 0.0im
0.12354253504084975 + 0.0im
0.12354253502384127 + 0.0im
0.12354253502310267 + 0.0im
0.12203633640752784 + 0.0im
0.12262788348655079 + 0.0im
0.1226278834865492 + 0.0im
0.12262788346795332 + 0.0im
0.1226278834689605 + 0.0im
0.11567687309631783 + 0.0im
0.11567687309632797 + 0.0im
0.11567687307975827 + 0.0im
0.12203633640743393 + 0.0im
0.12203633639053754 + 0.0im
0.12203633638986094 + 0.0im
0.12121158318433402 + 0.0im
0.12121158318429899 + 0.0im
0.12121158316536879 + 0.0im
0.12121158316738351 + 0.0im
0.11823636280606667 + 0.0im
0.11823636280597428 + 0.0im
0.11822201043487532 + 0.0im
0.11822201043481174 + 0.0im
0.11822201041708164 + 0.0im
0.11633534619621701 + 0.0im
0.11633534619606774 + 0.0im
0.11633534617923869 + 0.0im
0.1163353461782913 + 0.0im
0.11709919263932816 + 0.0im
0.11709919263929047 + 0.0im
0.11709919262148269 + 0.0im
0.11709919262293227 + 0.0im
0.12048842296700739 + 0.0im
0.12048842296685727 + 0.0im
0.1204884229500375 + 0.0im
0.12048842295058665 + 0.0im
0.11910890355580916 + 0.0im
0.11970013204729807 + 0.0im
0.11970013204714836 + 0.0im
0.11970013203050285 + 0.0im
0.1197001320281636 + 0.0im
0.119108903555562 + 0.0im
0.11910890353881157 + 0.0im
0.11910890354013237 + 0.0im
0.10759767161676242 + 0.0im
0.11785791322559293 + 0.0im
0.11785791320969213 + 0.0im
0.11785791320860071 + 0.0im
0.11567687307947065 + 0.0im
0.11462401948916622 + 0.0im
0.1139599203238453 + 0.0im
0.11462401947221065 + 0.0im
0.11823636279036036 + 0.0im
0.11823636279106796 + 0.0im
0.11315571995754987 + 0.0im
0.11315571995922746 + 0.0im
0.11315571997540175 + 0.0im
0.11462401947304157 + 0.0im
0.11395992030756626 + 0.0im
0.11395992030677465 + 0.0im
0.11315571997511334 + 0.0im
0.1118938717567074 + 0.0im
0.1094368131662933 + 0.0im
0.10841576978551636 + 0.0im
0.11235431062180491 + 0.0im
0.11822201041879575 + 0.0im
0.11189387174006717 + 0.0im
0.1118938717565936 + 0.0im
0.1118938717408426 + 0.0im
0.10841576978552007 + 0.0im
0.10943681316627236 + 0.0im
0.10999241258865432 + 0.0im
0.11235431062180588 + 0.0im
0.11235431060642659 + 0.0im
0.10654483405564454 + 0.0im
0.10841576976840152 + 0.0im
0.10999241258863134 + 0.0im
0.11235431060480315 + 0.0im
0.10654483403926575 + 0.0im
0.10654483404063461 + 0.0im
0.1065448340556749 + 0.0im
0.10943681315047259 + 0.0im
0.10841576977024266 + 0.0im
